case_id,experiment,graph_type,n,k,density,seed,num_vars,num_clauses,result,wall_time_sec,cpu_time_reported_sec,conflicts,decisions,propagations,returncode,cnf_file
A_density_random_n60_k3_d0p03_s10,A_density,random,60,3,0.03,10,180,399,SAT,0.002959,0.001023,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s10.cnf
A_density_random_n60_k3_d0p03_s11,A_density,random,60,3,0.03,11,180,399,SAT,0.002660,0.000949,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s11.cnf
A_density_random_n60_k3_d0p03_s12,A_density,random,60,3,0.03,12,180,399,SAT,0.002554,0.000917,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s12.cnf
A_density_random_n60_k3_d0p03_s13,A_density,random,60,3,0.03,13,180,399,SAT,0.002505,0.000919,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s13.cnf
A_density_random_n60_k3_d0p03_s14,A_density,random,60,3,0.03,14,180,399,SAT,0.007619,0.00142,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s14.cnf
A_density_random_n60_k3_d0p03_s15,A_density,random,60,3,0.03,15,180,399,SAT,0.008104,0.001847,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s15.cnf
A_density_random_n60_k3_d0p03_s16,A_density,random,60,3,0.03,16,180,399,SAT,0.007905,0.001658,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s16.cnf
A_density_random_n60_k3_d0p03_s17,A_density,random,60,3,0.03,17,180,399,SAT,0.006516,0.001154,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s17.cnf
A_density_random_n60_k3_d0p03_s18,A_density,random,60,3,0.03,18,180,399,SAT,0.007414,0.002036,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s18.cnf
A_density_random_n60_k3_d0p03_s19,A_density,random,60,3,0.03,19,180,399,SAT,0.005297,0.001187,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s19.cnf
A_density_random_n60_k3_d0p03_s2,A_density,random,60,3,0.03,2,180,399,SAT,0.003473,0.001133,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s2.cnf
A_density_random_n60_k3_d0p03_s20,A_density,random,60,3,0.03,20,180,399,SAT,0.003632,0.0011,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s20.cnf
A_density_random_n60_k3_d0p03_s21,A_density,random,60,3,0.03,21,180,399,SAT,0.008582,0.002163,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s21.cnf
A_density_random_n60_k3_d0p03_s22,A_density,random,60,3,0.03,22,180,399,SAT,0.011156,0.001205,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s22.cnf
A_density_random_n60_k3_d0p03_s23,A_density,random,60,3,0.03,23,180,399,SAT,0.003014,0.001057,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s23.cnf
A_density_random_n60_k3_d0p03_s24,A_density,random,60,3,0.03,24,180,399,SAT,0.002835,0.001024,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s24.cnf
A_density_random_n60_k3_d0p03_s25,A_density,random,60,3,0.03,25,180,399,SAT,0.002546,0.000944,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s25.cnf
A_density_random_n60_k3_d0p03_s26,A_density,random,60,3,0.03,26,180,399,SAT,0.002674,0.000965,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s26.cnf
A_density_random_n60_k3_d0p03_s27,A_density,random,60,3,0.03,27,180,399,SAT,0.002974,0.001082,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s27.cnf
A_density_random_n60_k3_d0p03_s28,A_density,random,60,3,0.03,28,180,399,SAT,0.002662,0.000946,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s28.cnf
A_density_random_n60_k3_d0p03_s29,A_density,random,60,3,0.03,29,180,399,SAT,0.002458,0.000916,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s29.cnf
A_density_random_n60_k3_d0p03_s3,A_density,random,60,3,0.03,3,180,399,SAT,0.002688,0.000962,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s3.cnf
A_density_random_n60_k3_d0p03_s30,A_density,random,60,3,0.03,30,180,399,SAT,0.002529,0.000927,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s30.cnf
A_density_random_n60_k3_d0p03_s31,A_density,random,60,3,0.03,31,180,399,SAT,0.002633,0.000953,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s31.cnf
A_density_random_n60_k3_d0p03_s32,A_density,random,60,3,0.03,32,180,399,SAT,0.003047,0.001071,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s32.cnf
A_density_random_n60_k3_d0p03_s33,A_density,random,60,3,0.03,33,180,399,SAT,0.002907,0.001038,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s33.cnf
A_density_random_n60_k3_d0p03_s34,A_density,random,60,3,0.03,34,180,399,SAT,0.002507,0.000928,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s34.cnf
A_density_random_n60_k3_d0p03_s35,A_density,random,60,3,0.03,35,180,399,SAT,0.002573,0.000913,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s35.cnf
A_density_random_n60_k3_d0p03_s36,A_density,random,60,3,0.03,36,180,399,SAT,0.002508,0.000978,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s36.cnf
A_density_random_n60_k3_d0p03_s37,A_density,random,60,3,0.03,37,180,399,SAT,0.002885,0.000997,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s37.cnf
A_density_random_n60_k3_d0p03_s38,A_density,random,60,3,0.03,38,180,399,SAT,0.002630,0.000941,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s38.cnf
A_density_random_n60_k3_d0p03_s39,A_density,random,60,3,0.03,39,180,399,SAT,0.002525,0.000932,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s39.cnf
A_density_random_n60_k3_d0p03_s4,A_density,random,60,3,0.03,4,180,399,SAT,0.002609,0.000933,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s4.cnf
A_density_random_n60_k3_d0p03_s40,A_density,random,60,3,0.03,40,180,399,SAT,0.002547,0.000912,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s40.cnf
A_density_random_n60_k3_d0p03_s5,A_density,random,60,3,0.03,5,180,399,SAT,0.002429,0.00089,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s5.cnf
A_density_random_n60_k3_d0p03_s6,A_density,random,60,3,0.03,6,180,399,SAT,0.002935,0.001095,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s6.cnf
A_density_random_n60_k3_d0p03_s7,A_density,random,60,3,0.03,7,180,399,SAT,0.002704,0.001016,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s7.cnf
A_density_random_n60_k3_d0p03_s8,A_density,random,60,3,0.03,8,180,399,SAT,0.002626,0.000954,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s8.cnf
A_density_random_n60_k3_d0p03_s9,A_density,random,60,3,0.03,9,180,399,SAT,0.002666,0.000967,0,1,0,10,cnfs/A_density_random_n60_k3_d0p03_s9.cnf
A_density_random_n60_k3_d0p045_s1,A_density,random,60,3,0.045,1,180,480,SAT,0.002739,0.001029,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s1.cnf
A_density_random_n60_k3_d0p045_s10,A_density,random,60,3,0.045,10,180,480,SAT,0.002669,0.001056,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s10.cnf
A_density_random_n60_k3_d0p045_s11,A_density,random,60,3,0.045,11,180,480,SAT,0.002901,0.001145,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s11.cnf
A_density_random_n60_k3_d0p045_s12,A_density,random,60,3,0.045,12,180,480,SAT,0.002760,0.001054,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s12.cnf
A_density_random_n60_k3_d0p045_s13,A_density,random,60,3,0.045,13,180,480,SAT,0.002767,0.001089,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s13.cnf
A_density_random_n60_k3_d0p045_s14,A_density,random,60,3,0.045,14,180,480,SAT,0.002723,0.001072,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s14.cnf
A_density_random_n60_k3_d0p045_s15,A_density,random,60,3,0.045,15,180,480,SAT,0.002633,0.001053,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s15.cnf
A_density_random_n60_k3_d0p045_s16,A_density,random,60,3,0.045,16,180,480,SAT,0.004547,0.001569,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s16.cnf
A_density_random_n60_k3_d0p045_s17,A_density,random,60,3,0.045,17,180,480,SAT,0.004210,0.001253,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s17.cnf
A_density_random_n60_k3_d0p045_s18,A_density,random,60,3,0.045,18,180,480,SAT,0.004132,0.001345,0,18,37,10,cnfs/A_density_random_n60_k3_d0p045_s18.cnf
A_density_random_n60_k3_d0p045_s19,A_density,random,60,3,0.045,19,180,480,SAT,0.003013,0.001237,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s19.cnf
A_density_random_n60_k3_d0p045_s2,A_density,random,60,3,0.045,2,180,480,SAT,0.003002,0.001157,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s2.cnf
A_density_random_n60_k3_d0p045_s20,A_density,random,60,3,0.045,20,180,480,SAT,0.002885,0.001098,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s20.cnf
A_density_random_n60_k3_d0p045_s21,A_density,random,60,3,0.045,21,180,480,SAT,0.002743,0.001103,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s21.cnf
A_density_random_n60_k3_d0p045_s22,A_density,random,60,3,0.045,22,180,480,SAT,0.002749,0.001072,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s22.cnf
A_density_random_n60_k3_d0p045_s23,A_density,random,60,3,0.045,23,180,480,SAT,0.002659,0.001079,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s23.cnf
A_density_random_n60_k3_d0p045_s24,A_density,random,60,3,0.045,24,180,480,SAT,0.002694,0.001059,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s24.cnf
A_density_random_n60_k3_d0p045_s25,A_density,random,60,3,0.045,25,180,480,SAT,0.003058,0.00114,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s25.cnf
A_density_random_n60_k3_d0p045_s26,A_density,random,60,3,0.045,26,180,480,SAT,0.002845,0.001098,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s26.cnf
A_density_random_n60_k3_d0p045_s27,A_density,random,60,3,0.045,27,180,480,SAT,0.002758,0.001046,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s27.cnf
A_density_random_n60_k3_d0p045_s28,A_density,random,60,3,0.045,28,180,480,SAT,0.002710,0.001074,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s28.cnf
A_density_random_n60_k3_d0p045_s29,A_density,random,60,3,0.045,29,180,480,SAT,0.002464,0.000998,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s29.cnf
A_density_random_n60_k3_d0p045_s3,A_density,random,60,3,0.045,3,180,480,SAT,0.002978,0.001168,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s3.cnf
